Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
103.0,2.0,10.0,1.0,Snack,Appetizer,0,,Freezing,15,0,0,1,0,0,1,0,0
156.0,3.0,13.0,3.0,Snack,Appetizer,0,,Baking,5,0,0,1,0,0,0,0,0
133.0,6.0,11.0,12.0,,Dessert,1,,Baking,25,0,0,0,0,0,0,0,0
280.0,2.0,12.0,42.0,,Dessert,0,,Baking,160,0,0,0,0,0,0,0,1
125.0,2.0,0.0,30.0,,Side Dish,0,,Steaming,11,0,0,1,0,0,0,0,0
101.0,2.0,9.0,9.0,,Dessert,0,,Microwave,40,0,0,0,0,0,0,0,0
307.0,9.0,24.0,26.0,,Dessert,0,,Freezing,47,0,0,0,0,0,0,0,0
265.0,4.0,12.0,38.0,Breakfast,,0,,Baking,10,0,1,0,0,0,1,1,1
244.0,3.0,14.0,29.0,,Dessert,0,,Baking,30,0,1,0,0,0,1,1,0
359.0,7.0,2.0,90.0,Snack,Dessert,1,Vegan,Grilling,20,0,1,0,0,0,0,0,0
157.0,2.0,9.0,19.0,Lunch,Dessert,0,,Stewing,310,0,1,0,0,0,0,0,0
399.0,30.0,10.0,45.0,,Soup,0,,Baking,320,1,0,1,0,0,0,0,0
447.0,6.0,27.0,46.0,,Dessert,0,,Baking,20,0,0,0,0,0,1,0,0
305.0,2.0,23.0,19.0,,Dessert,0,,Freezing,5,0,0,0,0,0,1,0,0
71.0,2.0,3.0,10.0,,Dessert,0,,Baking,30,0,0,0,0,0,1,1,0
154.0,4.0,6.0,21.0,,,0,,Microwave,10,1,0,0,0,0,1,1,0
181.0,3.0,10.0,21.0,,Dessert,0,,Baking,20,0,0,0,0,0,0,1,0
152.0,4.0,14.0,9.0,Snack,Appetizer,0,,Freezing,40,0,0,0,0,0,0,1,1
355.0,6.0,19.0,41.0,,Dessert,0,,Baking,50,0,0,0,0,0,1,1,0
651.0,29.0,20.0,74.0,,Main Dish,0,Vegetarian,Baking,30,1,0,0,0,0,1,1,0
483.0,7.0,26.0,54.0,,Dessert,0,,Baking,5,0,1,0,0,0,1,1,0
105.0,5.0,9.0,6.0,,Dessert,1,,Baking,15,0,0,0,0,0,0,0,0
190.0,2.0,8.0,30.0,,Dessert,0,,Baking,145,0,0,0,0,0,0,0,0
314.0,23.0,19.0,14.0,Lunch,Soup,0,,Freezing,30,0,0,1,0,0,1,0,0
361.0,12.0,28.0,17.0,,Salad,0,,Boiling,15,1,0,0,0,0,0,0,0
363.0,36.0,4.0,48.0,,Soup,0,,Boiling,45,1,0,1,0,0,0,0,0
316.0,4.0,20.0,32.0,,Dessert,0,,Microwave,275,0,1,0,0,0,1,0,0
421.0,16.0,32.0,19.0,Snack,Appetizer,0,,Microwave,50,1,0,0,0,0,1,0,0
199.0,1.0,21.0,3.0,,,0,,Raw Food,5,1,1,0,0,0,0,0,0
272.0,21.0,9.0,30.0,Lunch,Soup,0,,Boiling,25,1,0,1,0,0,0,1,0
367.0,25.0,10.0,51.0,,Soup,0,,Boiling,30,1,0,1,0,0,1,0,0
449.0,5.0,19.0,65.0,,Dessert,0,,Baking,45,0,0,0,0,0,1,1,0
382.0,20.0,25.0,18.0,,Salad,0,,Raw Food,30,1,0,1,0,0,1,0,0
940.0,43.0,83.0,1.0,,Main Dish,0,,Sous Vide,25,0,0,1,0,0,0,0,0
549.0,6.0,25.0,76.0,,Dessert,0,,Baking,0,0,0,0,0,0,0,1,0
1102.0,63.0,52.0,94.0,,Main Dish,0,,Grilling,550,1,0,1,0,0,1,1,0
408.0,15.0,36.0,10.0,Breakfast,,1,,Microwave,9,0,0,0,0,0,0,0,0
383.0,33.0,16.0,26.0,,Main Dish,0,,Frying,30,1,0,1,0,0,1,0,0
207.0,3.0,5.0,40.0,,Dessert,0,,Baking,20,0,1,0,0,0,0,0,0
437.0,14.0,6.0,80.0,,Main Dish,0,,Boiling,210,1,0,0,0,0,0,1,0
214.0,28.0,10.0,2.0,Dinner,Main Dish,0,,Frying,30,0,0,1,0,0,0,0,0
131.0,10.0,9.0,3.0,Lunch,Salad,0,,Raw Food,15,1,0,0,0,0,0,0,0
89.0,4.0,4.0,8.0,,Side Dish,0,,Baking,0,1,0,1,0,1,1,0,0
224.0,5.0,4.0,42.0,,Side Dish,0,,Boiling,35,1,0,1,0,0,0,1,0
197.0,29.0,3.0,14.0,Snack,Appetizer,0,,Grilling,15,0,0,1,0,0,0,0,0
336.0,20.0,13.0,36.0,,Main Dish,0,,Stewing,40,1,0,1,0,0,0,1,0
97.0,5.0,1.0,20.0,,Side Dish,0,,Baking,20,1,0,0,0,0,0,0,0
742.0,41.0,28.0,83.0,,Main Dish,0,,Steaming,30,1,0,1,1,0,0,0,1
296.0,3.0,16.0,37.0,,Dessert,0,,Baking,20,1,1,0,0,0,0,1,1
248.0,7.0,18.0,14.0,Lunch,Main Dish,0,,Frying,19,0,0,1,0,0,1,1,0
379.0,7.0,24.0,36.0,,Main Dish,0,Vegetarian,Grilling,5,1,0,1,0,0,0,0,0
386.0,17.0,21.0,30.0,,Main Dish,0,,Baking,15,1,0,1,0,0,1,1,0
663.0,72.0,34.0,14.0,Dinner,Main Dish,0,,Raw Food,285,0,0,1,0,0,0,0,0
163.0,11.0,11.0,4.0,,Main Dish,0,,Baking,130,0,0,1,0,0,0,0,0
806.0,51.0,30.0,79.0,,Main Dish,0,,Frying,30,0,0,1,0,0,1,1,0
727.0,7.0,44.0,80.0,,Dessert,0,,Baking,5,1,0,0,0,0,0,1,0
584.0,18.0,46.0,29.0,Snack,Appetizer,0,,Raw Food,10,1,0,0,0,0,1,0,0
135.0,2.0,7.0,19.0,,Dessert,0,,Baking,10,0,0,0,0,0,1,1,1
192.0,5.0,13.0,17.0,,Side Dish,0,,Baking,0,1,0,1,0,1,0,1,1
465.0,14.0,19.0,68.0,Lunch,Soup,0,,Frying,45,1,0,1,0,0,1,1,0
346.0,6.0,12.0,56.0,,Dessert,0,,Baking,0,0,1,0,0,0,1,1,1
164.0,0.0,17.0,3.0,Snack,Appetizer,0,,Baking,5,0,0,0,0,0,0,0,0
132.0,2.0,6.0,23.0,,Dessert,1,,Raw Food,10,0,1,0,0,0,0,0,0
352.0,4.0,13.0,58.0,Breakfast,,1,,Raw Food,41,1,1,0,0,0,1,0,0
882.0,31.0,41.0,100.0,Snack,Appetizer,0,,Grilling,25,1,0,0,0,0,1,0,0
687.0,49.0,21.0,74.0,Dinner,Main Dish,0,,Frying,35,1,0,1,0,0,1,1,0
178.0,1.0,9.0,23.0,Breakfast,Side Dish,0,,Baking,10,0,0,0,0,0,1,1,0
743.0,15.0,41.0,84.0,,,0,,Baking,15,1,0,0,0,0,1,1,0
155.0,16.0,8.0,6.0,Snack,Appetizer,1,,Freezing,25,1,1,0,1,0,0,0,0
81.0,1.0,0.0,16.0,,Side Dish,0,,Freezing,55,0,0,0,0,0,0,0,0
201.0,3.0,12.0,23.0,,Dessert,0,,Baking,30,0,0,0,0,0,0,1,1
221.0,6.0,6.0,41.0,,Side Dish,0,,Grilling,5,1,0,1,0,0,0,0,0
337.0,9.0,25.0,21.0,,Side Dish,0,,Frying,50,1,0,0,0,1,1,1,0
1019.0,66.0,66.0,42.0,,Main Dish,0,,Baking,40,1,1,0,1,0,1,1,0
104.0,0.0,11.0,2.0,Lunch,Side Dish,1,,Raw Food,10,1,0,0,0,0,0,0,0
470.0,18.0,25.0,42.0,,,0,,Boiling,25,1,0,0,0,1,1,0,0
500.0,36.0,30.0,16.0,,Main Dish,0,,Smoking,40,1,0,0,1,0,0,1,0
594.0,13.0,42.0,44.0,Lunch,Soup,0,,Stewing,45,1,0,1,0,0,1,1,0
244.0,11.0,13.0,22.0,Snack,Appetizer,0,,Baking,35,1,0,0,0,0,1,0,0
93.0,3.0,9.0,1.0,Lunch,Side Dish,0,,Grilling,10,0,0,0,0,0,1,0,0
241.0,3.0,14.0,28.0,,Dessert,0,,Baking,20,0,0,0,0,0,1,1,0
551.0,4.0,13.0,108.0,Breakfast,Dessert,1,,Raw Food,10,0,1,0,0,0,0,0,0
556.0,22.0,52.0,3.0,,Main Dish,0,,Baking,30,1,1,0,1,0,0,0,0
487.0,7.0,9.0,99.0,,Dessert,0,,Boiling,505,0,1,0,0,0,0,1,0
132.0,1.0,7.0,16.0,,Dessert,0,,Baking,45,0,0,0,0,0,0,0,0
189.0,2.0,6.0,36.0,,Side Dish,1,,Baking,5,1,0,0,0,0,0,0,0
503.0,10.0,20.0,67.0,,Side Dish,0,,Microwave,4,1,0,0,0,0,1,1,0
332.0,8.0,18.0,40.0,,Main Dish,0,Vegetarian,Frying,40,1,1,0,0,0,1,1,0
633.0,12.0,35.0,80.0,,Side Dish,0,,Raw Food,10,1,0,0,0,0,0,1,1
343.0,17.0,12.0,45.0,,,0,,Baking,20,1,0,1,0,0,0,0,0
389.0,32.0,16.0,28.0,Snack,Main Dish,1,,Grilling,25,1,0,1,0,0,1,0,0
177.0,9.0,3.0,30.0,,,1,,Frying,530,1,0,0,0,0,0,0,0
537.0,18.0,8.0,100.0,,Side Dish,0,,Frying,275,1,1,0,0,0,0,1,0
243.0,17.0,3.0,40.0,,Soup,1,,Boiling,40,1,1,0,0,0,0,0,0
451.0,25.0,29.0,27.0,Lunch,Side Dish,0,,Frying,31,1,0,1,0,0,0,0,0
251.0,4.0,8.0,44.0,Breakfast,,0,,Baking,50,0,1,0,0,0,0,1,1
362.0,2.0,28.0,17.0,,Side Dish,0,,Grilling,5,0,1,0,0,0,0,0,0
715.0,30.0,31.0,78.0,,,0,,Baking,190,0,0,0,0,0,1,1,0
517.0,44.0,34.0,5.0,,Main Dish,0,,Boiling,50,1,0,1,0,0,0,0,0
482.0,30.0,21.0,44.0,,Main Dish,0,,Microwave,40,0,0,1,0,0,0,1,0
342.0,38.0,19.0,4.0,,Main Dish,0,,Grilling,30,0,0,1,0,0,0,0,0
198.0,28.0,7.0,3.0,,,0,,Steaming,45,1,0,0,0,0,0,0,0
241.0,20.0,7.0,24.0,,Main Dish,0,,Frying,50,1,0,1,0,0,1,0,0
332.0,31.0,19.0,7.0,Lunch,Salad,0,,Raw Food,20,1,0,1,0,1,1,0,0
506.0,34.0,16.0,57.0,,Main Dish,0,,Steaming,130,1,0,1,0,0,1,0,0
378.0,9.0,8.0,71.0,,Main Dish,1,Vegetarian,Steaming,39,1,1,0,0,0,0,1,1
138.0,9.0,7.0,12.0,,Soup,1,,Steaming,0,1,0,0,1,0,0,0,0
600.0,64.0,33.0,13.0,,Main Dish,0,,Frying,0,1,1,1,0,0,0,0,0
231.0,7.0,4.0,43.0,,Soup,0,,Stewing,405,1,0,0,0,0,0,1,0
373.0,27.0,25.0,9.0,,Main Dish,0,,Frying,55,1,0,1,0,0,1,0,0
297.0,5.0,13.0,43.0,,Dessert,0,,Baking,40,0,1,0,0,0,0,1,0
180.0,1.0,0.0,46.0,,,0,,Freezing,5,0,1,0,0,0,0,0,0
384.0,10.0,10.0,66.0,,,0,,Freezing,15,1,1,0,0,0,1,0,0
481.0,50.0,19.0,33.0,,Main Dish,0,,Raw Food,25,1,1,0,1,0,0,0,0
203.0,34.0,6.0,3.0,Lunch,Salad,1,,Raw Food,20,1,0,0,1,0,0,0,1
191.0,28.0,6.0,4.0,,Main Dish,1,,Raw Food,20,1,0,0,1,0,0,0,1
312.0,22.0,10.0,34.0,,Main Dish,0,,Microwave,55,1,0,0,1,0,1,0,0
475.0,35.0,14.0,53.0,,Main Dish,0,,Raw Food,55,1,1,0,1,0,0,1,0
904.0,54.0,55.0,48.0,Lunch,Main Dish,0,,Frying,15,1,0,1,0,0,1,1,0
556.0,37.0,29.0,35.0,Lunch,Main Dish,0,,Frying,35,0,0,1,0,0,1,1,0
132.0,2.0,3.0,26.0,Breakfast,,0,,Frying,50,0,1,0,0,0,0,1,0
238.0,2.0,7.0,44.0,,Dessert,0,,Frying,35,0,1,0,0,0,0,1,0
325.0,2.0,15.0,48.0,,Dessert,0,,Frying,40,0,1,0,0,0,0,1,1
710.0,7.0,24.0,120.0,,Dessert,0,,Frying,35,0,1,0,0,0,0,1,1
103.0,1.0,0.0,26.0,Snack,Dessert,0,,Frying,30,0,1,0,0,0,0,0,0
497.0,3.0,29.0,60.0,,Dessert,0,,Frying,45,0,1,0,0,0,1,1,0
67.0,3.0,4.0,7.0,Snack,Appetizer,0,,Frying,20,1,0,0,0,0,1,0,0
69.0,4.0,3.0,7.0,,Side Dish,0,,Frying,15,1,0,0,0,0,1,0,0
615.0,37.0,44.0,16.0,,Main Dish,0,,Frying,40,1,0,1,0,0,0,0,0
483.0,44.0,25.0,18.0,,,0,,Frying,35,0,0,1,0,0,0,0,0
215.0,4.0,19.0,11.0,Snack,Appetizer,0,,Frying,5,1,1,0,0,0,1,0,0
445.0,18.0,29.0,27.0,,Side Dish,0,,Frying,20,0,0,1,0,0,0,0,0
67.0,5.0,5.0,0.0,,Side Dish,1,,Frying,20,0,0,1,0,0,0,0,0
459.0,21.0,35.0,16.0,,Side Dish,0,,Frying,35,0,0,1,0,0,0,0,0
222.0,17.0,15.0,3.0,,Appetizer,0,,Frying,35,0,0,1,1,0,0,0,0
344.0,8.0,7.0,65.0,,Side Dish,1,Vegan,Frying,5,1,0,0,0,0,0,0,0
371.0,4.0,14.0,60.0,,Side Dish,0,,Frying,35,1,0,0,0,0,0,0,0
489.0,21.0,33.0,35.0,,,0,,Frying,25,1,0,1,0,0,0,1,0
234.0,31.0,8.0,11.0,,Main Dish,0,,Frying,25,1,0,0,1,1,0,0,0
180.0,19.0,10.0,3.0,,Side Dish,0,,Frying,25,1,1,1,0,0,1,1,0
235.0,32.0,11.0,0.0,,,1,,Frying,50,1,0,1,0,0,0,0,0
74.0,5.0,4.0,6.0,Snack,Appetizer,0,,Frying,30,1,0,1,0,0,0,1,0
269.0,17.0,17.0,13.0,,,0,Vegetarian,Frying,30,1,0,0,0,0,0,0,0
168.0,6.0,4.0,27.0,,,0,,Frying,25,1,0,1,0,0,0,1,0
606.0,34.0,51.0,3.0,,Main Dish,0,,Frying,20,0,0,0,1,0,0,0,0
245.0,40.0,7.0,3.0,,,1,,Frying,40,1,0,1,0,0,0,0,0
217.0,2.0,10.0,32.0,,Dessert,0,,Frying,25,0,1,0,0,0,0,1,0
43.0,1.0,2.0,5.0,Snack,Appetizer,0,,Frying,18,0,0,0,0,0,0,0,0
282.0,17.0,18.0,14.0,,Main Dish,0,,Frying,15,0,0,0,1,0,0,0,0
164.0,19.0,4.0,13.0,Dinner,Main Dish,0,,Frying,17,1,0,0,1,0,0,1,0
380.0,31.0,27.0,3.0,Breakfast,,0,,Frying,35,1,0,1,0,0,1,0,0
399.0,24.0,22.0,27.0,Breakfast,,0,,Frying,15,0,0,1,0,0,1,0,0
290.0,4.0,28.0,10.0,,Side Dish,0,,Frying,45,1,0,0,0,0,0,0,0
150.0,1.0,6.0,26.0,,Dessert,0,,Frying,16,0,1,0,0,0,0,1,0
94.0,6.0,3.0,13.0,,Side Dish,0,,Frying,15,1,0,1,0,0,0,0,0
215.0,8.0,17.0,11.0,,,0,,Frying,27,1,1,0,0,0,0,0,0
180.0,7.0,4.0,33.0,,,0,,Frying,30,1,1,1,0,0,0,1,0
441.0,18.0,28.0,38.0,Snack,Appetizer,0,,Frying,25,0,0,1,0,0,1,0,0
1106.0,87.0,76.0,16.0,Snack,Appetizer,0,,Frying,45,0,0,1,0,0,0,0,0
93.0,8.0,6.0,1.0,Snack,Appetizer,0,,Frying,40,0,0,1,0,0,0,0,0
177.0,7.0,2.0,34.0,Snack,Appetizer,1,,Frying,30,0,0,1,0,0,0,0,0
215.0,19.0,14.0,2.0,Dinner,Main Dish,0,,Frying,20,1,0,1,0,0,0,0,0
318.0,27.0,4.0,57.0,Snack,Appetizer,0,,Raw Food,37,1,1,0,1,0,0,0,0
335.0,25.0,13.0,33.0,,,0,,Frying,275,0,0,1,0,0,1,1,0
99.0,1.0,3.0,19.0,,,0,,Frying,20,1,1,0,0,0,0,1,0
129.0,1.0,6.0,19.0,,Side Dish,0,,Frying,25,1,1,0,0,0,0,0,0
405.0,32.0,24.0,14.0,,Main Dish,0,,Frying,22,0,0,0,1,0,0,0,0
170.0,16.0,7.0,12.0,Dinner,Main Dish,0,,Microwave,15,1,0,1,0,0,0,0,0
147.0,3.0,6.0,20.0,,Side Dish,0,,Frying,15,1,0,0,0,0,0,0,0
944.0,33.0,53.0,81.0,Snack,Appetizer,0,,Frying,130,1,1,0,0,0,1,1,0
822.0,54.0,47.0,42.0,Dinner,Main Dish,0,,Frying,30,0,0,1,0,0,1,0,0
227.0,5.0,16.0,16.0,Breakfast,,0,,Frying,15,0,1,0,0,0,1,1,0
187.0,29.0,5.0,4.0,Snack,Main Dish,0,,Frying,28,1,0,1,0,0,1,1,0
728.0,64.0,32.0,57.0,Dinner,Main Dish,0,,Frying,40,0,0,1,0,0,1,1,0
78.0,5.0,3.0,10.0,,Main Dish,1,,Microwave,165,0,0,1,0,0,0,0,0
184.0,15.0,6.0,17.0,,Main Dish,0,,Frying,40,1,0,1,0,0,0,1,0
411.0,43.0,13.0,41.0,,,0,,Frying,20,1,0,1,0,0,0,0,0
318.0,32.0,7.0,41.0,,Main Dish,0,,Frying,40,0,0,1,0,0,0,0,0
783.0,64.0,35.0,64.0,Dinner,Main Dish,0,,Freezing,25,1,0,1,0,0,0,1,0
154.0,13.0,9.0,7.0,Snack,Main Dish,0,,Freezing,55,1,0,1,0,0,0,0,0
310.0,33.0,7.0,34.0,,,0,,Frying,30,1,0,1,0,0,1,1,0
322.0,33.0,14.0,15.0,,Main Dish,0,,Frying,30,1,1,1,0,0,1,1,0
491.0,34.0,19.0,40.0,,Main Dish,0,,Frying,50,1,0,1,0,0,1,1,0
236.0,29.0,5.0,18.0,Dinner,Main Dish,0,,Frying,40,1,0,1,0,0,0,1,0
174.0,10.0,9.0,13.0,Snack,Appetizer,0,,Frying,30,1,0,1,0,0,1,1,0
753.0,70.0,22.0,64.0,,Main Dish,0,,Frying,0,1,0,1,0,0,1,1,0
293.0,24.0,14.0,17.0,Dinner,Main Dish,0,,Frying,25,0,0,1,0,0,0,1,0
213.0,19.0,14.0,1.0,Dinner,Main Dish,1,,Frying,30,0,0,1,0,0,0,0,0
453.0,27.0,37.0,4.0,,,0,,Frying,5,0,0,1,0,0,0,0,0
155.0,6.0,4.0,25.0,,,0,,Frying,25,1,1,0,0,0,0,0,0
180.0,13.0,5.0,19.0,,Main Dish,0,,Frying,30,0,0,1,0,0,1,1,0
304.0,31.0,10.0,22.0,,Main Dish,0,,Frying,35,0,0,1,0,0,0,1,0
173.0,4.0,10.0,18.0,Breakfast,,0,,Frying,25,0,0,0,0,0,1,1,0
310.0,4.0,14.0,44.0,Breakfast,,0,,Frying,20,0,0,0,0,0,0,1,0
418.0,31.0,17.0,41.0,,,0,,Frying,140,0,1,1,0,0,0,1,0
103.0,1.0,6.0,12.0,,Dessert,0,,Microwave,40,0,0,0,0,0,1,0,0
236.0,14.0,9.0,28.0,Snack,Appetizer,0,,Frying,45,1,1,0,1,0,0,1,0
169.0,24.0,3.0,16.0,,Main Dish,0,,Frying,25,0,0,0,1,0,0,0,0
225.0,6.0,7.0,36.0,Snack,Appetizer,1,,Frying,555,1,0,0,0,0,0,0,0
515.0,7.0,48.0,20.0,,Side Dish,0,,Frying,25,1,0,0,0,0,1,0,0
537.0,29.0,28.0,43.0,Breakfast,Main Dish,0,,Frying,40,1,0,1,0,0,0,0,0
375.0,55.0,10.0,14.0,,,0,,Frying,20,0,0,1,0,0,0,1,0
220.0,29.0,8.0,7.0,Dinner,Main Dish,0,,Frying,20,0,0,1,0,0,0,1,0
242.0,28.0,9.0,11.0,Snack,Main Dish,0,,Frying,25,1,0,0,1,0,1,0,0
127.0,5.0,7.0,11.0,,Main Dish,0,,Frying,35,1,0,0,1,0,1,0,0
363.0,14.0,23.0,23.0,Breakfast,,0,,Frying,20,0,0,1,1,0,1,0,0
521.0,37.0,22.0,45.0,,Main Dish,0,,Frying,30,1,0,1,0,0,0,1,0
370.0,26.0,8.0,48.0,,Main Dish,1,,Frying,35,1,0,0,1,0,0,1,0
510.0,17.0,31.0,57.0,,Side Dish,0,,Frying,30,1,0,0,0,0,0,1,0
266.0,2.0,12.0,38.0,Breakfast,,0,,Frying,35,0,1,0,0,0,0,1,0
216.0,11.0,8.0,27.0,Snack,Appetizer,0,,Frying,45,1,0,0,0,0,1,0,0
180.0,10.0,5.0,25.0,Snack,Appetizer,0,,Frying,35,1,0,0,0,0,0,1,0
